horizon,distance_ticks,n_observations,p_fill_bid,p_fill_ask,p_fill_mean
10,289,5990,0.35926544240400665,0.3323873121869783,0.3458263772954925
10,383,5990,0.3424040066777963,0.31335559265442403,0.32787979966611014
10,509,5990,0.31686143572621034,0.28297161936560933,0.2999165275459098
10,675,5990,0.2641068447412354,0.24724540901502504,0.25567612687813024
10,896,5990,0.22120200333889817,0.21402337228714524,0.2176126878130217
10,1190,5990,0.17479131886477461,0.1681135225375626,0.17145242070116862
10,1580,5990,0.11368948247078464,0.12053422370617696,0.1171118530884808
10,2097,5990,0.0679465776293823,0.07779632721202004,0.07287145242070117
10,2784,5990,0.03489148580968281,0.035726210350584306,0.035308848080133556
10,3695,5990,0.015358931552587647,0.014190317195325543,0.014774624373956595
